Price,Close,High,Low,Open,Volume,returns,volatility,ma_10,volume_ma,momentum,strategy
2022-01-18,166.00277709960938,168.6814931182034,165.6214992398613,167.67452813175186,90956700.0,-0.0188941522197118,0.01380318788822307,169.78134765625,89107350.0,-11.93695068359375,VWAP
2022-01-19,162.51260375976562,167.25414945182573,162.22909557704548,166.19829964047344,94815000.0,-0.021024788866932487,0.014433287206705428,168.46446990966797,88657810.0,-13.168777465820312,VWAP
2022-01-20,160.83106994628906,165.8854518373375,160.50844792121475,163.24583471657064,91420500.0,-0.010347097853175113,0.012897860144022682,167.44674987792968,88346100.0,-10.177200317382812,VWAP
2022-01-21,158.7780303955078,162.61036568511253,158.67048972769118,160.74307541554964,122848900.0,-0.012765192393900504,0.012593675584166653,166.50919036865236,90940590.0,-9.375595092773438,VWAP
2022-01-24,158.00570678710938,158.67050778679211,151.24045969712583,156.44149634340394,162294600.0,-0.004864171740099232,0.012385231008812461,165.477783203125,98499140.0,-10.314071655273438,VWAP
2022-01-25,156.2068634033203,159.1202179477596,153.50859022634555,155.42475069595457,115798400.0,-0.01138467350557626,0.012263396443882872,164.26453704833983,99402420.0,-12.132461547851562,VWAP
2022-01-26,156.11888122558594,160.71377291639465,154.29070450112417,159.84367643647036,108275300.0,-0.0005632414339388214,0.009344328398961058,162.75995330810548,102616120.0,-15.04583740234375,VWAP
2022-01-27,155.65936279296875,160.17604091465265,154.7403816352541,158.817126094803,121954600.0,-0.0029433879426358223,0.008719792507677791,161.1654281616211,107331060.0,-15.94525146484375,VWAP
2022-01-28,166.52090454101562,166.5404614570555,159.15929945417386,162.00422657695262,179935700.0,0.0697776320881709,0.026077010131928712,160.98358612060548,116874050.0,-1.81842041015625,VWAP
2022-01-31,170.8713836669922,171.0864649878099,165.7192328015865,166.35470576493188,115541600.0,0.026125723601897688,0.027417678320559087,161.1507583618164,120384130.0,1.671722412109375,VWAP
2022-02-01,170.70518493652344,170.93003725349797,168.4566170141108,170.11859681152686,86213900.0,-0.0009726539745978924,0.026521242670496575,161.62099914550782,119909850.0,4.7024078369140625,VWAP
2022-02-02,171.90771484375,171.94682868403083,169.4538509394799,170.84209391826516,84914300.0,0.007044483784565347,0.02513284209425899,162.56051025390624,118919780.0,9.395111083984375,VWAP
2022-02-03,169.03346252441406,172.29878204430065,168.27090671710556,170.57813105955574,89418100.0,-0.016719740134690242,0.02566601313975502,163.38074951171876,118719540.0,8.202392578125,VWAP
2022-02-04,168.7495880126953,170.4234840013588,167.07569202403184,168.05457472378333,82465400.0,-0.001679398312495417,0.025031885121150628,164.3779052734375,114681190.0,9.9715576171875,VWAP
2022-02-07,168.03500366210938,170.2766384169295,167.33999039041194,169.20965988540354,77251200.0,-0.004234584267738595,0.025001229363228798,165.3808349609375,106176850.0,10.029296875,VWAP
2022-02-08,171.13807678222656,171.6471000057892,167.80986639624405,168.1035342150904,74829200.0,0.01846682567613689,0.024410990483156324,166.87395629882812,102079930.0,14.93121337890625,VWAP
2022-02-09,172.55740356445312,172.91958530484067,171.20654095307694,172.3322647747442,71285000.0,0.00829345992962538,0.024167581365644623,168.51780853271484,98380900.0,16.438522338867188,VWAP
2022-02-10,168.48526000976562,171.77430598076174,167.92730472233933,170.46260694632986,90865900.0,-0.023598776236607444,0.02622207996767056,169.80039825439454,95272030.0,12.825897216796875,VWAP
2022-02-11,165.07876586914062,169.42500712943504,164.49143031742815,168.6908451580762,98670700.0,-0.02021835109152903,0.016341156634952357,169.65618438720702,87145530.0,-1.442138671875,VWAP
2022-02-14,165.31370544433594,165.99892030677,163.04269054419584,163.83558309476695,86185500.0,0.0014231968233973102,0.013435987797958782,169.1004165649414,84209920.0,-5.55767822265625,VWAP
2022-02-15,169.14111328125,169.29773807776493,166.654758116967,167.35955476472148,62527400.0,0.02315239275912795,0.015835828331552882,168.94400939941406,81841270.0,-1.5640716552734375,VWAP
2022-02-16,168.9062042236328,169.67951494494773,166.45899759893967,168.2209893560315,61177400.0,-0.001388834760869595,0.015593948078762281,168.64385833740235,79467580.0,-3.0015106201171875,VWAP
2022-02-17,165.31370544433594,168.27971865617212,164.91235997613748,167.4182971510757,69589300.0,-0.021269193726835445,0.016139266903974665,168.27188262939453,77484700.0,-3.719757080078125,VWAP
2022-02-18,163.7670440673828,166.93861378532614,162.68048390268257,166.23383213199764,82772700.0,-0.009355917422551041,0.016298534998485603,167.77362823486328,77515430.0,-4.9825439453125,VWAP
2022-02-22,160.8500213623047,163.16996871038384,158.7258326412145,161.49607262837773,91162800.0,-0.017812025134177234,0.01697601788530031,167.0551300048828,78906590.0,-7.1849822998046875,VWAP
2022-02-23,156.68975830078125,162.6413518716535,156.37650867254357,162.04423283731927,90009200.0,-0.025864236922621853,0.016158838679493612,165.61029815673828,80424590.0,-14.448318481445312,VWAP
2022-02-24,159.3033905029297,159.411068207212,148.79018396900835,149.35793777917277,141147500.0,0.016680300170808238,0.017313173939763015,164.28489685058594,87410840.0,-13.254013061523438,VWAP
2022-02-25,161.36880493164062,161.6330924831591,157.47284137265066,160.38012393186045,91974200.0,0.01296528857414958,0.01747205863492072,163.57325134277343,87521670.0,-7.116455078125,VWAP
2022-02-28,161.63307189941406,161.92673963359974,158.9998756125995,159.6165763607333,95056600.0,0.001637658331084424,0.016585841159965573,163.2286819458008,87160260.0,-3.4456939697265625,VWAP
2022-03-01,159.753662109375,163.08187242749526,158.54964050687724,161.2219862371019,83474400.0,-0.011627631449142029,0.01680010545813555,162.67267761230468,86889150.0,-5.5600433349609375,VWAP
2022-03-02,163.04266357421875,163.82577254598857,159.50889722189146,160.91849038376492,79724800.0,0.02058795661655588,0.016365614576941655,162.06283264160157,88608890.0,-6.09844970703125,VWAP
2022-03-03,162.7196502685547,165.3430634011942,162.05401727070716,164.91235266773373,76678400.0,-0.001981158174081399,0.01635801512983928,161.44417724609374,90158990.0,-6.186553955078125,VWAP
2022-03-04,159.72430419921875,162.05405003585454,158.67690737340956,161.01643666085187,83737200.0,-0.01840801688297866,0.0160365642913847,160.88523712158204,91573780.0,-5.5894012451171875,VWAP
2022-03-07,155.93600463867188,161.53521443024337,155.68148559760553,159.91026569329455,96418800.0,-0.023717740262132248,0.017235672565099582,160.10213317871094,92938390.0,-7.8310394287109375,VWAP
2022-03-08,154.11529541015625,159.44041971330986,152.50992837199067,155.4661583222758,131148300.0,-0.011676002811117914,0.016823436760385575,159.42866058349608,96936940.0,-6.7347259521484375,VWAP
2022-03-09,159.50894165039062,159.95923428896205,156.04370327606966,158.06998280822745,91454900.0,0.03499747527252195,0.018963943948582116,159.71057891845703,97081510.0,2.819183349609375,VWAP
2022-03-10,155.1724853515625,157.0029911685478,152.6861150001443,156.81700107101284,105342000.0,-0.02718628970865289,0.02020953309332133,159.2974884033203,93500960.0,-4.1309051513671875,VWAP
2022-03-11,151.46253967285156,155.9164596416208,151.23740079888486,155.57384466842046,96970100.0,-0.02390852779283381,0.020448775004613635,158.3068618774414,94000550.0,-9.906265258789062,VWAP
2022-03-14,147.43930053710938,150.86538982544317,146.9302923114544,148.2517749321591,108732100.0,-0.02656260184486603,0.02118988434485368,156.88748474121093,95368100.0,-14.193771362304688,VWAP
2022-03-15,151.8148956298828,152.28477002224423,147.2043670461277,147.71337523300835,92964300.0,0.02967726431713591,0.024393175099197688,156.0936080932617,96317090.0,-7.9387664794921875,VWAP
2022-03-16,156.21987915039062,156.6212246232631,151.19822129277074,153.73352378158447,102300200.0,0.029015489568605668,0.02548938559206274,155.4113296508789,98574630.0,-6.822784423828125,VWAP
2022-03-17,157.22813415527344,157.60011436017203,154.30128444798586,155.26058530967927,75615400.0,0.00645407620570615,0.0257013922901278,154.86217803955077,98468330.0,-5.49151611328125,VWAP
2022-03-18,160.5171661376953,161.0066074424884,156.3862803303168,157.1204422875064,123511700.0,0.020918851451698472,0.026109683769548506,154.94146423339845,102445780.0,0.7928619384765625,VWAP
2022-03-21,161.8876190185547,162.83713639325782,159.56765695852218,160.05709828830467,95811400.0,0.008537734086856208,0.024698345155125027,155.53662567138673,102385040.0,5.9516143798828125,VWAP
2022-03-22,165.25497436523438,165.84229498697945,161.42753966012307,162.01486028186812,81532000.0,0.020800573676321266,0.024538827275403356,156.65059356689454,97423410.0,11.139678955078125,VWAP
2022-03-23,166.61563110351562,168.99430889731204,164.1096788423283,164.44251031244588,98062700.0,0.008233680973947832,0.02255883144994381,157.36126251220702,98084190.0,7.106689453125,VWAP
2022-03-24,170.3941192626953,170.46263328488442,166.61563143205333,167.4476727675763,90131400.0,0.0226778732232642,0.02013317509307697,158.8834259033203,96563130.0,15.221633911132812,VWAP
2022-03-25,171.03036499023438,171.578536843318,169.10196511927478,170.20810721060892,80546200.0,0.0037339652934744727,0.016613719222432575,160.8402084350586,94920740.0,19.567825317382812,VWAP
2022-03-28,171.8917999267578,172.0190445148475,168.36781639958284,168.53422465828777,90371900.0,0.00503673681905914,0.010130620029088874,163.28545837402345,93084720.0,24.452499389648438,VWAP
2022-03-29,175.18081665039062,175.2297488255487,172.6161343745908,172.95874922006587,100589400.0,0.019134227025572104,0.008974929505978882,165.6220504760742,93847230.0,23.365921020507812,VWAP
2022-03-30,174.01597595214844,175.81711647524634,172.96856432856262,174.77950323773482,92633200.0,-0.006649362187680974,0.009609508449142266,167.40166015625,92880530.0,17.796096801757812,VWAP
2022-03-31,170.92271423339844,174.27049138056103,170.7171422878286,174.0845012718467,103049300.0,-0.017775734106163843,0.01322589006296825,168.7711181640625,95623920.0,13.694580078125,VWAP
2022-04-01,170.62904357910156,171.18701389593227,168.30909632537671,170.35495761395958,78751300.0,-0.0017181487879712742,0.012787431569111274,169.7823059082031,91147880.0,10.11187744140625,VWAP
2022-04-04,174.6717987060547,174.72074581921223,170.75626863844195,170.88352814533914,76468400.0,0.02369324144443774,0.013941186834979137,171.06072387695312,89213580.0,12.7841796875,VWAP
2022-04-05,171.36322021484375,174.53480585728352,170.7367358216346,173.75169663163055,73401800.0,-0.018941686727453666,0.01538667440744069,171.67154846191406,88400560.0,6.108245849609375,VWAP
2022-04-06,168.201416015625,169.9634078617043,166.537318414103,168.7202226513366,89058800.0,-0.018450891593042473,0.016772715680001698,171.830126953125,87500170.0,1.585784912109375,VWAP
2022-04-07,168.5048370361328,169.69907490999924,166.2632026288955,167.5455363451221,77594700.0,0.0018039147808341927,0.014989440968424824,171.64119873046874,86246500.0,-1.8892822265625,VWAP
2022-04-08,166.4981689453125,168.15248323813117,165.6269638660641,168.15248323813117,76575500.0,-0.011908667585548427,0.015252872467751461,171.18797912597657,85849430.0,-4.532196044921875,VWAP
2022-04-11,162.2498016357422,165.4605355802755,162.00508096962494,165.14730089465874,72246700.0,-0.02551600018475708,0.01656198426163967,170.223779296875,84036910.0,-9.641998291015625,VWAP
2022-04-12,164.11944580078125,166.28276779117587,163.12098145475815,164.4718441031093,79265200.0,0.011523244689300105,0.01543381480225997,169.11764221191407,81904490.0,-11.061370849609375,VWAP
